没戏	没辙	0.0000	0.0000
只管	尽管	-0.0197	0.4883
GDP	生产力	-0.0592	0.5870
包袱	段子	0.0000	0.0000
由此	通过	0.0241	0.4081
日期	时间	0.1073	0.4559
爱面子	好高骛远	0.0000	0.0000
严厉	严谨	-0.0128	0.6786
一方面	一边	-0.0670	0.4520
托福	GRE	0.0000	0.0000
亏	幸亏	0.1124	0.7220
蹩脚	差强人意	0.0000	0.0000
容易	顺利	-0.0833	0.3303
悲喜	大悲大喜	0.0000	0.0000
老气	土气	0.0000	0.0000
狭隘	狭窄	0.0626	0.7759
抄袭	克隆	0.2506	0.7216
害臊	腼腆	0.0000	0.0000
幻境	红楼梦	0.0000	0.0000
依稀	清晰	0.0660	0.7379
权限	权力	0.4331	0.7601
伟大	壮烈	0.0718	0.5516
娇艳	幽美	0.0000	0.0000
理解	理会	-0.0015	0.4252
酣睡	打鼾	0.0000	0.0000
自然	环境	0.1276	0.5322
振兴	建设	0.0903	0.6593
节日	假日	-0.0089	0.6776
的哥	司机	0.0000	0.0000
几乎	差点儿	0.0000	0.0000
江湖	红尘	-0.0183	0.9012
路子	后门	0.0256	0.4223
牛脾气	我行我素	0.0000	0.0000
物品	物质	-0.1278	0.6795
塞车	拥挤	0.2430	0.5763
面	首	0.2787	0.6573
冷僻	晦涩	0.0000	0.0000
免费	便宜	0.0658	0.5572
发票	账单	0.1635	0.7717
回收站	垃圾篓	0.0000	0.0000
典型	代表	-0.0166	0.3827
必须	必需	0.0748	0.3867
出神	发楞	0.0000	0.0000
琢磨	镂刻	0.0000	0.0000
身姿	身手	-0.0356	0.7638
质量	重量	0.3173	0.4996
事变	后院起火	0.0000	0.0000
大小	多少	0.0178	0.5926
信物	证件	0.0000	0.0000
牺牲	粉身碎骨	0.0000	0.0000
豆蔻年华	黄金时代	0.0000	0.0000
血液	红细胞	-0.0286	0.4813
硅谷	中关村	-0.0262	0.6653
天赋	技能	-0.0531	0.5566
酷	爽	0.0000	0.0000
旅客	驴友	0.0000	0.0000
隆重	重要	-0.0960	0.2346
候选人	备胎	0.0000	0.0000
平凡	平庸	0.1427	0.5378
了不得	好	0.0000	0.0000
鸣谢	酬答	0.0000	0.0000
线路	行程	0.1512	0.7921
多角度	多元化	0.0000	0.0000
要面子	虚荣心	0.0000	0.0000
许可证	执照	0.2258	0.7646
是非	方圆	0.0446	0.7675
崛起	凸起	0.0000	0.0000
工作日	开放日	0.0000	0.0000
大	高	0.0213	0.5405
吸引力	地磁力	0.0000	0.0000
右翼	左派	0.0000	0.0000
和谐	平安	0.1857	0.5929
商标	符号	0.0327	0.6909
违纪	贪污	0.5423	0.7635
环境	生态	0.7175	0.8236
实践	进行	-0.0016	0.2927
买卖	营销	0.4249	0.6709
合理	合理性	0.0821	0.6478
辛勤	夜以继日	0.0825	0.7768
手续	过程	-0.0017	0.3479
渣	废品	0.1474	0.7284
高峰	山巅	0.0000	0.0000
收费	缴纳	0.3396	0.7240
享受	大快朵颐	0.0000	0.0000
怯懦	胆小鬼	0.0000	0.0000
杂事	闲事	0.0000	0.0000
言语	语言	0.0873	0.3950
借口	理由	0.1688	0.6315
与	以及	0.0609	0.5085
